name,state,date_acquired,book_value,investment_income,ownership_pct
"AA GP Solutions Fund, L.P. Wilmington",DE,07/29/2021,0,0,3.03
"AA WH HoldCo, L.P. Wilmington DE Apollo Principal Holdings",VI,09/01/2021,0,0,11.19
"AEA Investors Small Business Fund II, L.P. New York",NY,12/23/2009,0,0,0.08
"AOP Finance Partners, L.P. El Segundo",CA,04/30/2021,0,0,0.29
"AP Tundra Holdings, LLC Wilmington",DE,12/29/2020,0,0,2.07
"Apollo Hybrid Value Fund II, L.P. New York",NY,12/23/2020,0,0,1.59
"Apollo Investment Fund IX, L.P. Purchase",NY,03/14/2019,0,0,2.52
"Apollo Natural Resources Partners II, L.P. New York",NY,09/28/2016,0,0,1.09
"Arsenal Capital Partners Growth, L.P. New York",NY,05/20/2022,0,0,2.14
"Arsenal Capital Partners V, L.P. New York",NY,07/16/2019,0,0,3.2
"Aterian Investment Partners II, L.P. New York",NY,02/07/2014,0,0,0.51
"Aurora Equity Partners IV, L.P. Los Angeles",CA,06/14/2011,0,0,7.16
"Aurora Equity Partners V, L.P. Los Angeles",CA,06/09/2016,0,0,0.11
"Aurora Equity Partners VI, L.P. Los Angeles",CA,04/30/2021,0,0,0.625
"Birch Hill Equity Partners IV, L.P. Toronto",CAN,11/30/2010,0,0,1.08
"Birch Hill Equity Partners V, L.P. Toronto",CAN,11/25/2015,0,0,0.43
"E03 000000-00-0 Birch Hill Equity Partners VI, L.P. Toronto",CAN,12/16/2020,0,0,0.09
"Calera Capital Partners V, L.P. San Francisco",CA,10/31/2017,0,0,1.958
"CapStreet V, L.P. Houston",TX,12/18/2019,0,0,0.142
"Carlyle Infrastructure Credit Fund, L.P. Washington",DC,04/19/2022,0,0,1.31
"Catterton Latin America III, L.P. Greenwich",CT,03/23/2020,0,0,3.51
"Catterton Partners IX, L.P. Greenwich",CT,05/21/2020,0,0,0.53
"Catterton Partners VIII, L.P. Greenwich",CT,06/12/2017,0,0,1.2
"Centre Capital Investors VII, L.P. New York",NY,05/29/2018,0,0,1.16
"Clairvest Equity Partners V-A, L.P. Toronto",CAN,03/13/2015,0,0,0.79
"Clairvest Equity Partners VI-A, L.P. Toronto",CAN,07/02/2020,0,0,1.91
"Clayton, Dubilier & Rice Fund X, L.P. New York",NY,03/26/2018,0,0,0.0
"Clearlake Capital Partners VII, L.P. Santa Monica",CA,04/25/2022,0,0,0.0
"Core Senior Lending Fund II Feeder, L.P. New York",NY,12/23/2021,0,0,0.0
"Cortec Group Fund V, L.P. New York",NY,04/18/2011,0,0,0.0
"Cortec Group Fund VI, L.P. New York",NY,07/09/2015,0,0,0.0
"Cortec Group Fund VII, L.P. New York",NY,12/10/2019,0,0,0.0
"Frazier Healthcare Growth Buyout Fund X, L.P. Seattle",WA,06/10/2021,0,0,0.0
"Graham Partners V, L.P. Newtown Square",PA,11/05/2019,0,0,0.0
"Green Equity Investors VII, L.P. Los Angeles",CA,05/11/2017,0,0,0.0
"Green Equity Investors VIII, L.P. Los Angeles",CA,10/20/2020,0,0,0.0
"Harvest Partners IX, L.P. New York",NY,08/31/2022,0,0,0.0
"Harvest Partners VIII, L.P. New York",NY,11/26/2019,0,0,0.0
"Haveli VC Gaming Fund I, L.P. Wilmington",DE,04/04/2022,0,0,0.0
"Insight Partners XII, L.P. New York",NY,08/26/2021,0,0,0.0
"IPI Partners II-A, L.P. Chicago",IL,04/30/2021,0,0,0.0
Island NYC Recovery Fund I L.P. New York,NY,10/28/2021,0,0,0.0
"JFL Equity Investors V, L.P. New York",NY,08/14/2020,0,0,0.0
"K3 Private Investors, L.P. El Segundo",CA,07/15/2016,0,0,0.0
"K4 Private Investors, L.P. El Segundo",CA,11/14/2018,0,0,0.0
KKR North America Fund XIII SCSp New York,NY,05/04/2022,0,0,0.0
"Leeds Equity Partners VI, L.P. New York",NY,06/01/2017,0,0,0.0
"Levine Leichtman Capital Partners VI, L.P. Beverly Hills CA LLCP Partners",VI,05/30/2017,0,0,0.0
"Lovell Minnick Equity Partners IV, L.P. Radnor",PA,03/26/2015,0,0,0.0
"Lovell Minnick Equity Partners V, L.P. Radnor",PA,10/24/2019,0,0,0.0
"Madison Dearborn Capital Partners VIII, L.P. Chicago",IL,11/19/2020,0,0,0.0
"Marlin Heritage II, L.P. Hermosa Beach",CA,10/23/2017,0,0,0.0
"MidCap FinCo Holdings, L.P. El Segundo",CA,04/30/2021,0,0,0.0
"MidOcean Partners V, L.P. New York",NY,05/21/2018,0,0,0.0
