name,state,date_acquired,book_value,investment_income,ownership_pct
The Guardian Life Insurance Company of America The Guardian Life Insurance Company of New York NY America 1.D,FE,12/05/2017,5531016,218250,0.777
New York Life Insurance Company New York NY New York Life Insurance Company 1.C,FE,04/01/2019,2356790,104442,0.235
Teachers Insurance & Annuity Association of Teachers Insurance & Annuity America New York NY Association of America 1.D,FE,05/04/2020,1997440,66000,0.16
JDM Partners Tempe Arizona Core Fund IV LLC Phoenix,AZ,12/01/2017,1193964,85236,0.275
National Life Insurance Company Montpelier VT NLV Financial Corporation 1.G,FE,07/09/2019,1083248,52500,0.2
The Guardian Life Insurance Company of America The Guardian Life Insurance Company of New York NY America 1.D,FE,04/17/2019,1066373,48750,0.222
Western & Southern Life Insurance Western & Southern Life Insurance Company Cincinnati OH Company 1.F,FE,02/27/2019,1044668,51500,0.2
Farmers Exchange Capital III Newark DE Farmers Exchange Capital III 2.A,FE,10/01/2014,1000000,0,0.2
The Savings Bank Mutual Life Insurance Company The Savings Bank Mutual Life Insurance of Massachusetts Woburn MA Company of Massachusetts 2.B,FE,07/21/2017,1000000,0,1.745
Northwestern Mutual Life Insurance Northwestern Mutual Life Insurance Company Milwaukee WI Company 1.C,FE,03/15/2021,996537,26642,0.111
Mutual of Omaha Insurance Company Omaha NE Mutual of Omaha Insurance Company 1.G,FE,03/01/2019,993172,42970,0.333
"Mezzanine Partners II, LP New York",NY,03/11/2013,511178,65011,0.099
Massachusetts Mutual Life Insurance Company Springfield MA MassMutual Financial Group 1.D,FE,04/10/2015,300000,0,0.116
"Designation Book/ Year’s Other- Foreign Centerfield Capital Partners II, LP Indianapolis",IN,01/01/2007,521,12229,0.177
"New York Life Investment Management Mezzanine Partners II, LP New York",NY,01/16/2007,75,0,0.0
