name,state,date_acquired,book_value,investment_income,ownership_pct
Admini- Date Type Actual Cost Additional for TOTAL SA Paris,FRA,01/01/2025,0,0,0.0
"ACCION VENTURE LAB FUND II, LP Washington",DC,12/12/2023,0,0,7.54
ADVENT INTERNATIONAL GPE X-A SCSP Boston,MA,04/28/2022,0,0,0.11
ADVENT INTERNATIONAL GPE X-D SCSP Boston,MA,04/28/2022,0,0,0.39
"AH American Dynamism Fund I, L.P. Menlo Park",CA,04/12/2024,0,0,0.14
"APOLLO IMPACT MISSION FUND, L.P. New York",NY,07/08/2021,0,0,2.97
"APOLLO INFRASTRUCTURE OPPORTUNITIES FUND II, L.P. New York",NY,06/01/2021,0,0,7.75
"Accel Growth Fund VII, L.P. Palo Alto",CA,12/18/2024,0,0,0.16
"Accel India VII, L.P. Bangalore IDN Accel",,03/01/2022,0,0,0.15
"Accel India VIII, L.P. Bangalore IDN Accel",,12/18/2024,0,0,0.1
Accel Leaders 4 L.P. Palo Alto,CA,06/15/2022,0,0,0.15
Accel London VII L.P. London,GBR,06/15/2021,0,0,0.49
"Accel London VIII, L.P. London",GBR,05/01/2024,0,0,0.2
"Accel XIV, L.P. Palo Alto",CA,03/01/2019,0,0,0.9
"Accel XVI, L.P. Palo Alto",CA,12/08/2023,0,0,0.29
"E03 Accomplice Fund IV, L.P. Boston",MA,04/11/2022,0,0,1.96
Affinity Asia Pacific Fund IV (NO.2) L.P. Singapore,SGP,03/20/2013,0,0,2.3
"Airtree Ventures Core Fund V Partnership, LP Sydney",AUS,05/29/2025,0,0,2.11
"Airtree Ventures Opportunity Fund V Partnership, LP Sydney",AUS,05/29/2025,0,0,3.52
Altor Fund V (No. 1) AB Stockholm,SWE,12/17/2018,0,0,0.65
Altor Fund VI (No. 1) AB Stockholm,SWE,09/30/2022,0,0,0.87
"American Industrial Partners Capital Fund VI, L.P. New York",NY,09/02/2015,0,0,0.7
"American Industrial Partners Capital Fund VII, L.P. New York",NY,03/26/2019,0,0,0.5
"Andreessen Horowitz Fund IX - AI Applications, L.P. Menlo Park",CA,04/12/2024,0,0,0.08
"Andreessen Horowitz Fund IX - AI Infrastructure, L.P. Menlo Park",CA,04/12/2024,0,0,0.07
"Andreessen Horowitz Fund VIII, L.P. Menlo Park",CA,11/30/2021,0,0,0.16
"Andreessen Horowitz LSV Fund III, L.P. Menlo Park",CA,11/30/2021,0,0,0.17
"Andreessen Horowitz LSV Fund IV, L.P. Menlo Park",CA,04/12/2024,0,0,0.08
"Anthemis Venture Fund III LP St. Peter Port, Guernsey",GBR,01/09/2024,0,0,3.36
"Arbor Venture Fund III, L.P. Singapore",SGP,06/24/2021,0,0,3.15
"Arctos Sports Partners Fund II, LP New York",NY,05/03/2022,0,0,0.11
"Arlington Capital Partners IV, L.P. Chevy Chase",MD,07/28/2016,0,0,4.35
"Arlington Capital Partners V, L.P. Chevy Chase",MD,04/29/2019,0,0,3.04
"Arlington Capital Partners VI, L.P. Chevy Chase",MD,05/01/2022,0,0,0.19
Arsenal Capital Partners Growth LP New York,NY,10/21/2021,0,0,0.74
Arsenal Capital Partners VI LP New York,NY,10/21/2021,0,0,0.23
"Astro Co-Invest, L.P. Houston",TX,04/25/2025,0,0,0.1
"Audax Private Equity Fund VII-A, L.P. Boston",MA,04/15/2022,0,0,0.2
"BGH Capital Offshore Fund I, L.P. Melbourne",AUS,05/15/2018,0,0,0.88
"BLUE VISTA ACCELERATOR FUND, L.P. Chicago",IL,06/23/2023,0,0,19.31
"BVP Forge Institutional, L.P. Larchmont",NY,06/24/2022,0,0,0.27
"Battery Ventures Select Fund II, L.P. Boston",MA,05/01/2022,0,0,0.36
"Battery Ventures XIV, L.P. Boston",MA,05/01/2022,0,0,0.29
Bennett Holdings LP Toronto,CAN,05/20/2021,0,0,1.62
"Bessemer Venture Partners Century Fund II, L.P. Larchmont",NY,02/19/2021,0,0,0.9
"Bessemer Venture Partners XI Institutional, L.P. Larchmont",NY,02/19/2021,0,0,0.64
"Bessemer Venture Partners XII Institutional, L.P. Larchmont",NY,07/01/2022,0,0,0.21
"Admini- Date Type Actual Cost Additional for BharCap Partners II, L.P. Greenwich",CT,10/15/2024,0,0,0.79
Blackstar Stability Distressed Debt Fund Washington,DC,04/26/2023,0,0,6.36
B.V.) Rotterdam,NLD,06/18/2021,0,0,3.52
Blue Owl GP Stakes III US Investors LP (fka III LP) New York,NY,09/09/2016,0,0,2.61
Blue Revolution Fund L.P. Cork,IRL,09/19/2024,0,0,6.66
